Information_Type,PII_Type,Cluster_Membership_Type,NIST_Category,DHS_Category,HIPAA_Protected_Health_Information_Category,Risk_Level,GDPR_Category,GDPR_Sensitivity,GRPR_Likelihood,GDPR_Impact,GDPR_Importance_Weighting,GDPR_Risk_Score,Risk_Level_GDPR,Country,PII_Category,PII_Sensitivity_Score,PII_Likelihood_Score,PII_Impact_Score,PII_Importance_Weighting,PII_Risk_Score,Risk_Level_PII,Information Type Description ,GDPR Reference,GDPR Reference URL
Height,HEIGHT,Basic Demographics,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,2,2,2,2,0.16,Very Low,Universal,Demographic Information,2,2,2,3,0.24,Low,�Height can be used to identify someone.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
"Home Phone Number, Cell Phone Number",PHONE_NUMBER,Contact Information,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,4,4,4,4,0.64,Medium,Universal,Contact Information,3,3,3,3,0.36,Medium,"�A home phone number or cell phone number can be used to track someone down, send them unwanted calls or text messages, or commit identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
IBAN Code,IBAN_CODE,Financial Information,Directly PII,Stand Alone PII,Not Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Universal,Financial Information,5,5,5,5,1,High,"�An IBAN code is a unique identifier that is used to identify bank accounts in certain European countries. If an IBAN code is compromised, it could be used to make unauthorized withdrawals from someone's bank account.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
IP Address,IP_ADDRESS,Contact Information,Directly PII,Not Mentioned,Protected Health Information,Identifiable,Anonymous Data,4,4,4,4,0.64,Medium,Universal,Geolocation Data,4,4,4,3,0.48,Medium,"�An IP address is a unique identifier that is assigned to every device that connects to the internet. If an IP address is compromised, it could be used to track someone's online activity or to launch cyberattacks.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Job Title,JOB_TITLE,Basic Demographics,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Employment Information,3,3,3,3,0.36,Medium,�A job title can be used to target someone for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Marital Status,MARITAL_STATUS,Basic Demographics,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Demographic Information,2,2,2,2,0.16,Low,�Marital status can be used to target someone for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Medical License,MEDICAL_LICENSE,Secure Identifiers,Directly PII,Stand Alone PII,Not Protected Health Information,Identifiable,Special Categories of Data (Sensitive Data),4,4,4,4,0.64,Medium,Universal,Professional Licenses,3,3,3,3,0.36,Medium,"�A medical license is a unique identifier that is used to identify medical professionals. If a medical license is compromised, it could be used to impersonate a medical professional.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
"Nationality, Religion, Political Affiliation",NRP,Personal Preferences,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Personal Data,4,4,4,4,0.64,Medium,Universal,Demographic Information,4,4,4,4,0.64,Medium,�Nationality can be used to target someone for scams or discrimination. �Religion can be used to target someone for scams or discrimination. �Political affiliation can be used to target someone for scams or discrimination.,[GDPR Article 9(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Occupation,OCCUPATION,Basic Demographics,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Employment Information,3,3,3,3,0.36,Medium,�Occupation can be used to target someone for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Passport,US_PASSPORT,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Universal,Security Identifiers,5,5,5,5,1,High,"�A passport is a government-issued document that contains a person's name, date of birth, and photograph. If a passport is compromised, it could be used to travel internationally or to commit identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Person,PERSON,Financial Information,Directly PII,Linkable,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Universal,Basic Identifier,5,4,5,5,0.93,High,"�A person is a unique individual. If a person's information is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 9(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Race,RACE,Basic Demographics,Linkable,Linkable,Protected Health Information,Semi-Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,Universal,Demographic Information,5,5,5,5,1,High,�Race can be used to target someone for scams or discrimination.,[GDPR Article 9(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Sexual Preference,SEXUAL_PREFERENCE,Personal Preferences,Linkable,Linkable,Not Protected Health Information,Semi-Identifiable,Special Categories of Data (Sensitive Data),4,4,3,3,0.44,Medium,Universal,Demographic Information,4,4,4,4,0.64,Medium,�Sexual preference can be used to target someone for scams or discrimination.,[GDPR Article 9(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Social Network Profile,SOCIAL_NETWORK_PROFILE,Community Interaction,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Pseudonymous Data,4,4,4,4,0.64,Medium,Universal,Online Identifier,2,2,2,2,0.16,Low,�A social network profile can be used to track someone's online activity or to impersonate them online.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
SPANISH DNI,ES_NIF,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Spain,Security Identifiers,5,5,5,5,1,High,"�A SPANISH DNI is a unique identifier that is assigned to all Spanish citizens. It is used by the government and other organizations to track individuals' financial and social information. If a SPANISH DNI is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
SPANISH NIE,ES_NIE,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Spain,Security Identifiers,5,5,5,5,1,High,"�NIE (Número de Identificación de Extranjero): This is your identification number in Spain. It is needed in order to file taxes, buy property, establish a business, open a bank account, and for almost all other forms you fill out. Both EU citizens and non-EU citizens get issued a NIE.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Swift Code (Financial),SWIFT_CODE,Financial Information,Directly PII,Stand Alone PII,Protected Health Information,Semi-Identifiable,Personal Data,5,5,5,5,1,Very High,Universal,Financial Information,5,4,4,4,0.69,High,"�A Swift Code is a unique identifier that is used to identify financial institutions. If a Swift Code is compromised, it could be used to make unauthorized wire transfers.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
The tax file number (TFN),AU_TFN,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,4,5,5,0.93,Very High,Australia,Security Identifiers,5,5,5,5,1,High,"�A TFN is a unique identifier that is used to track individuals' tax information in Australia. If a TFN is compromised, it could be used to commit tax fraud or identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Titulo,TITLE,Basic Demographics,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,5,4,4,4,0.69,High,Spain,Security Identifiers,5,4,4,5,0.87,High,"�A Titulo is a unique identifier that is assigned to all Spanish citizens who have completed their secondary education. It is used by the government and other organizations to track individuals' educational records. If a Titulo is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
UK Social Security Number,UK_NHS,Secure Identifiers,Directly PII,Not Mentioned,Protected Health Information,Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,United Kingdom,Security Identifiers,5,5,5,5,1,High,"�A UK Social Security Number is a unique identifier that is assigned to all UK citizens and permanent residents. It is used by the government and other organizations to track individuals' financial and social information. If a UK Social Security Number is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
United States Bank Account (Financial Accounts),US_BANK_NUMBER,Financial Information,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,United States,Financial Information,5,5,5,5,1,High,"�A United States Bank Account is a bank account that is held in the United States. If a United States Bank Account is compromised, it could be used to make unauthorized withdrawals from someone's bank account.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
US ITIN,US_ITIN,Secure Identifiers,Directly PII,Stand Alone PII,Not Protected Health Information,Identifiable,Anonymous Data,5,5,5,5,1,Very High,United States,Online Identifier,5,4,4,4,0.69,High,"�A US ITIN is a unique identifier that is used by individuals who do not have a Social Security Number (SSN) to file taxes in the United States. If a US ITIN is compromised, it could be used to commit tax fraud or identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
URL,URL,Community Interaction,Linkable,Linkable,Protected Health Information,Semi-Identifiable,Personal Data,4,4,4,4,0.64,Medium,Universal,Security Identifiers,5,4,4,4,0.69,High,"�A URL is a unique identifier that is used to identify websites. If a URL is compromised, it could be used to track someone's online activity or to redirect them to malicious websites.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
US Social Security Number,US_SSN,Secure Identifiers,Directly PII,Not Mentioned,Protected Health Information,Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,United States,Vehicle Identifiers,5,5,5,5,1,High,"�A Social Security Number (SSN) is a unique identifier that is used to track individuals' financial and social information in the United States. If a Social Security Number is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Weight,WEIGHT,Basic Demographics,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,2,2,2,2,0.16,Very Low,Universal,Contact Information,2,2,2,2,0.16,Low,�Weight can be used to identify someone.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Zipcode,ZIPCODE,Basic Demographics,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,2,2,2,2,0.16,Very Low,Universal,Demographic Information,2,2,2,2,0.16,Low,�A zipcode can be used to track someone down or target them for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Title,TITLE_EN,Basic Demographics,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,5,4,4,4,0.69,High,United States,Security Identifiers,5,4,4,5,0.87,High,"�A Titulo is a unique identifier that is assigned to all Spanish citizens who have completed their secondary education. It is used by the government and other organizations to track individuals' educational records. If a Titulo is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
An Italian personal identification code,IT_FISCAL_CODE,Secure Identifiers,Directly PII,Stand Alone PII,Not Protected Health Information,Identifiable,Anonymous Data,5,5,5,5,1,Very High,Italy,Online Identifier,5,4,4,4,0.69,High,"�A US ITIN is a unique identifier that is used by individuals who do not have a Social Security Number (SSN) to file taxes in the United States. If a US ITIN is compromised, it could be used to commit tax fraud or identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
An Italian driver license number.,IT_DRIVER_LICENSE,Financial Information,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Pseudonymous Data,5,5,5,5,1,Very High,Italy,Basic Identifier,3,3,3,4,0.48,Medium,"�A driver's license is a government-issued identification document that contains a person's name, address, date of birth, and driver's license number. If a driver's license number is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
An Italian VAT code number,IT_VAT_CODE,Secure Identifiers,Directly PII,Stand Alone PII,Not Protected Health Information,Identifiable,Anonymous Data,5,5,5,5,1,Very High,Italy,Online Identifier,5,4,4,4,0.69,High,"�A US ITIN is a unique identifier that is used by individuals who do not have a Social Security Number (SSN) to file taxes in the United States. If a US ITIN is compromised, it could be used to commit tax fraud or identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
An Italian passport number.,IT_PASSPORT,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Italy,Security Identifiers,5,5,5,5,1,High,"�A passport is a government-issued document that contains a person's name, date of birth, and photograph. If a passport is compromised, it could be used to travel internationally or to commit identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
An Italian identity card number.,IT_IDENTITY_CARD,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Italy,Security Identifiers,5,5,5,5,1,High,"�A SPANISH DNI is a unique identifier that is assigned to all Spanish citizens. It is used by the government and other organizations to track individuals' financial and social information. If a SPANISH DNI is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
