Information_Type,PII_Type,Cluster_Membership_Type,NIST_Category,DHS_Category,HIPAA_Protected_Health_Information_Category,Risk_Level,GDPR_Category,GDPR_Sensitivity,GRPR_Likelihood,GDPR_Impact,GDPR_Importance_Weighting,GDPR_Risk_Score,Risk_Level_GDPR,Country,PII_Category,PII_Sensitivity_Score,PII_Likelihood_Score,PII_Impact_Score,PII_Importance_Weighting,PII_Risk_Score,Risk_Level_PII,Information Type Description ,GDPR Reference,GDPR Reference URL
Credit Score,CREDIT_SCORE,Financial Information,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Personal Data,4,4,4,4,0.64,Medium,Universal,Financial Information,4,3,3,4,0.53,Medium,"�A credit score is a number that is used to assess a person's creditworthiness. If a credit score is compromised, it could be used to deny someone loans or credit.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Crypto (Financial Accounts),CRYPTO,Financial Information,Directly PII,Linkable,Not Protected Health Information,Semi-Identifiable,Personal Data,5,5,5,5,1,Very High,Universal,Financial Information,4,4,4,5,0.8,High,"�Cryptocurrencies�are digital or virtual tokens that use cryptography for security. They are decentralized, meaning they are not subject to government or financial institution control.�If cryptocurrency information is compromised, it could be used to steal someone's cryptocurrency.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Date,DATE_TIME,Basic Demographics,Linkable,Linkable,Protected Health Information,Semi-Identifiable,Anonymous Data,2,2,2,2,0.16,Very Low,Universal,Basic Identifier,2,2,2,3,0.24,Low,�A date can be used to track someone's movements or commit identity theft. It can also be used to plan or execute a crime.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Digital Signature,DIGITAL_SIGNATURE,Financial Information,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Pseudonymous Data,4,4,4,4,0.64,Medium,Universal,Security Identifiers,5,4,4,5,0.87,High,�A digital signature is a cryptographically secure way to verify the authenticity of a message or document. It can be used to commit fraud or impersonate someone.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
DNA Profile,DNA_PROFILE,Secure Identifiers,Linkable,Stand Alone PII,Protected Health Information,Semi-Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,Universal,Biometric Data,5,5,5,5,1,High,�A DNA profile is a unique identifier that is used to identify someone or track their ancestry. It can also be used to commit identity theft or fraud.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Driver's License,US_DRIVER_LICENSE,Financial Information,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Pseudonymous Data,5,5,5,5,1,Very High,Universal,Basic Identifier,3,3,3,4,0.48,Medium,"�A driver's license is a government-issued identification document that contains a person's name, address, date of birth, and driver's license number. If a driver's license number is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Driver's License Number,US_DRIVERS_LICENSE_NUMBER,Financial Information,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Pseudonymous Data,5,5,5,5,1,Very High,Universal,Basic Identifier,3,3,3,4,0.48,Medium,"�A driver's license number is a government-issued identification document that contains a person's name, address, date of birth, and driver's license number. If a driver's license number is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Email Address,EMAIL_ADDRESS,Personal Preferences,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,4,4,4,4,0.64,Medium,Universal,Online Identifier,3,3,3,4,0.48,Medium,"�An email address is a unique identifier that is used to send and receive electronic mail. If an email address is compromised, it could be used to send spam or phishing emails, or to take over someone's online accounts.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Family/Friends Contact Information,FAMILY_FRIEND_CONTACT_INFORMATION,Community Interaction,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Contact Information,3,2,2,3,0.28,Low,"�Family and friends contact information can be used to track someone down, send them unwanted mail or packages, or commit identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Fingerprint,FINGERPRINT,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,Universal,Biometric Data,5,5,5,5,1,High,"�A fingerprint is a unique identifier that can be used to identify someone. If a fingerprint is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Gender,GENDER,Basic Demographics,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,2,2,2,2,0.16,Very Low,Universal,Demographic Information,2,2,2,3,0.24,Low,�Gender can be used to target someone for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
German ID Number (Personalausweis and Rentenversicherungsnummer),DE_ID_NUMBER,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,Germany,Security Identifiers,4,4,4,5,0.8,High,"�A German ID number is a unique identifier that is assigned to all German citizens and residents. It is used by the government and other organizations to track individuals' financial and social information. If this information is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
GPS Location,LOCATION,Secure Identifiers,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Anonymous Data,3,3,3,3,0.36,Low,Universal,Geolocation Data,4,3,3,4,0.53,Medium,�A GPS location can be used to track someone's movements. This information could be used to stalk someone or commit a crime.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Handwriting Sample,HANDWRITING_SAMPLE,Financial Information,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Special Categories of Data (Sensitive Data),4,4,4,4,0.64,Medium,Universal,Biometric Data,4,4,4,4,0.64,Medium,�A handwriting sample can be used to forge someone's signature.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Health Insurance ID,HEALTH_INSURANCE_ID,Secure Identifiers,Directly PII,Not Mentioned,Protected Health Information,Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,Universal,Healthcare Information,5,4,4,4,0.69,High,"�A health insurance ID is a unique identifier that is used to identify someone's health insurance policy. If a health insurance ID is compromised, it could be used to make unauthorized medical claims.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Height,HEIGHT,Basic Demographics,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,2,2,2,2,0.16,Very Low,Universal,Demographic Information,2,2,2,3,0.24,Low,�Height can be used to identify someone.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Home Address,HOME_ADDRESS,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,4,4,4,0.69,High,Universal,Contact Information,3,3,3,4,0.48,Medium,"�A home address can be used to track someone down, send them unwanted mail or packages, or commit identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
"Home Phone Number, Cell Phone Number",PHONE_NUMBER,Contact Information,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,4,4,4,4,0.64,Medium,Universal,Contact Information,3,3,3,3,0.36,Medium,"�A home phone number or cell phone number can be used to track someone down, send them unwanted calls or text messages, or commit identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Hometown,HOMETOWN,Basic Demographics,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Demographic Information,2,2,2,2,0.16,Low,�A hometown can be used to track someone down or target them for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Income Level,INCOME_LEVEL,Basic Demographics,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Demographic Information,4,4,4,2,0.32,Low,�An income level can be used to target someone for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
IBAN Code,IBAN_CODE,Financial Information,Directly PII,Stand Alone PII,Not Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Universal,Financial Information,5,5,5,5,1,High,"�An IBAN code is a unique identifier that is used to identify bank accounts in certain European countries. If an IBAN code is compromised, it could be used to make unauthorized withdrawals from someone's bank account.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
International Banking Account Number (Financial Accounts),INTERNATIONAL_BANKING_ACCOUNT_NUMBER,Financial Information,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Universal,Financial Information,5,5,5,5,1,High,"�An international banking account number is a unique identifier that is used to identify bank accounts in countries outside of Europe. If an international banking account number is compromised, it could be used to make unauthorized withdrawals from someone's bank account.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
IP Address,IP_ADDRESS,Contact Information,Directly PII,Not Mentioned,Protected Health Information,Identifiable,Anonymous Data,4,4,4,4,0.64,Medium,Universal,Geolocation Data,4,4,4,3,0.48,Medium,"�An IP address is a unique identifier that is assigned to every device that connects to the internet. If an IP address is compromised, it could be used to track someone's online activity or to launch cyberattacks.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Job Title,JOB_TITLE,Basic Demographics,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Employment Information,3,3,3,3,0.36,Medium,�A job title can be used to target someone for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
License Plate Number,LICENSE_PLATE_NUMBER,Financial Information,Directly PII,Not Mentioned,Protected Health Information,Identifiable,Personal Data,5,5,4,3,0.56,Medium,Universal,Vehicle Identifiers,3,3,3,3,0.36,Medium,�A license plate number can be used to track someone down or identify their vehicle.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Marital Status,MARITAL_STATUS,Basic Demographics,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Demographic Information,2,2,2,2,0.16,Low,�Marital status can be used to target someone for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Medical History,MEDICAL_HISTORY,Secure Identifiers,Linkable,Linkable,Protected Health Information,Semi-Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,Universal,Healthcare Information,5,5,5,5,1,High,�Medical history can be used to commit insurance fraud or identity theft.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Medical License,MEDICAL_LICENSE,Secure Identifiers,Directly PII,Stand Alone PII,Not Protected Health Information,Identifiable,Special Categories of Data (Sensitive Data),4,4,4,4,0.64,Medium,Universal,Professional Licenses,3,3,3,3,0.36,Medium,"�A medical license is a unique identifier that is used to identify medical professionals. If a medical license is compromised, it could be used to impersonate a medical professional.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Mothers Maiden Name,MOTHERS_MAIDEN_NAME,Financial Information,Directly PII,Linkable,Not Protected Health Information,Identifiable,Personal Data,4,4,4,4,0.64,Medium,Universal,Basic Identifier,5,3,5,3,0.52,Medium,"�A mothers maiden name is often used as a security question. If a mothers maiden name is compromised, it could be used to gain access to someone's accounts.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
"Nationality, Religion, Political Affiliation",NRP,Personal Preferences,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Personal Data,4,4,4,4,0.64,Medium,Universal,Demographic Information,4,4,4,4,0.64,Medium,�Nationality can be used to target someone for scams or discrimination. �Religion can be used to target someone for scams or discrimination. �Political affiliation can be used to target someone for scams or discrimination.,[GDPR Article 9(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Number of Children,NUMBER_OF_CHILDREN,Basic Demographics,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Demographic Information,2,2,2,2,0.16,Low,�A number of children can be used to target someone for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Occupation,OCCUPATION,Basic Demographics,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Employment Information,3,3,3,3,0.36,Medium,�Occupation can be used to target someone for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Online Screen Name,SCREEN_NAME,Personal Preferences,Directly PII,Not Mentioned,Not Protected Health Information,Identifiable,Pseudonymous Data,4,4,4,4,0.64,Medium,Universal,Online Identifier,3,5,4,3,0.48,Medium,�An online screen name can be used to track someone down or impersonate them online.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Passport,US_PASSPORT,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Universal,Security Identifiers,5,5,5,5,1,High,"�A passport is a government-issued document that contains a person's name, date of birth, and photograph. If a passport is compromised, it could be used to travel internationally or to commit identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Passport Number,US_PASSPORT_NUMBER,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Universal,Security Identifiers,5,5,5,5,1,High,"�A passport number is a unique identifier that is used to identify passports. If a passport number is compromised, it could be used to travel internationally or to commit identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Passwords,PASSWORD,Secure Identifiers,Linkable,Linkable,Not Protected Health Information,Semi-Identifiable,Personal Data,4,4,4,4,0.64,Medium,Universal,Online Credentials,5,5,5,5,1,High,"�Passwords are used to protect access to accounts and devices. If a password is compromised, it could be used to gain unauthorized access to someone's accounts or devices.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Person,PERSON,Financial Information,Directly PII,Linkable,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Universal,Basic Identifier,5,4,5,5,0.93,High,"�A person is a unique individual. If a person's information is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 9(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Picture Face,PICTURE_FACE,Community Interaction,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,4,4,4,0.69,High,Universal,Biometric Data,5,4,4,4,0.69,High,�A picture of someone's face can be used to identify them or to create a fake identity.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Place of Birth,PLACE_OF_BIRTH,Basic Demographics,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Demographic Information,2,2,2,2,0.16,Low,�A place of birth can be used to track someone down or target them for scams or discrimination.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Race,RACE,Basic Demographics,Linkable,Linkable,Protected Health Information,Semi-Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,Universal,Demographic Information,5,5,5,5,1,High,�Race can be used to target someone for scams or discrimination.,[GDPR Article 9(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Security/Access Codes,SECURITY_ACCESS_CODES,Secure Identifiers,Linkable,Linkable,Not Protected Health Information,Semi-Identifiable,Personal Data,5,4,4,4,0.69,High,Universal,Security Identifiers,5,5,5,5,1,High,"�Security codes are used to protect access to accounts and devices. If a security code is compromised, it could be used to gain unauthorized access to someone's accounts or devices.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Sexual Preference,SEXUAL_PREFERENCE,Personal Preferences,Linkable,Linkable,Not Protected Health Information,Semi-Identifiable,Special Categories of Data (Sensitive Data),4,4,3,3,0.44,Medium,Universal,Demographic Information,4,4,4,4,0.64,Medium,�Sexual preference can be used to target someone for scams or discrimination.,[GDPR Article 9(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Shopping Behavior,SHOPPING_BEHAVIOR,Basic Demographics,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Personal Data,3,3,3,3,0.36,Low,Universal,Demographic Information,3,3,3,3,0.36,Medium,�Shopping behavior can be used to track someone's spending habits or to target them with advertising.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Social Network Profile,SOCIAL_NETWORK_PROFILE,Community Interaction,Linkable,Not Mentioned,Not Protected Health Information,Semi-Identifiable,Pseudonymous Data,4,4,4,4,0.64,Medium,Universal,Online Identifier,2,2,2,2,0.16,Low,�A social network profile can be used to track someone's online activity or to impersonate them online.,[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Social Security Number,US_SOCIAL_SECURITY_NUMBER,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,United States,Security Identifiers,5,5,5,5,1,High,"�A Social Security Number is a unique identifier that is used to track individuals' financial and social information. If a Social Security Number is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
SPANISH DNI,ES_NIF,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,Spain,Security Identifiers,5,5,5,5,1,High,"�A SPANISH DNI is a unique identifier that is assigned to all Spanish citizens. It is used by the government and other organizations to track individuals' financial and social information. If a SPANISH DNI is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Swift Code (Financial),SWIFT_CODE,Financial Information,Directly PII,Stand Alone PII,Protected Health Information,Semi-Identifiable,Personal Data,5,5,5,5,1,Very High,Universal,Financial Information,5,4,4,4,0.69,High,"�A Swift Code is a unique identifier that is used to identify financial institutions. If a Swift Code is compromised, it could be used to make unauthorized wire transfers.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
The tax file number (TFN),AU_TFN,Secure Identifiers,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,4,5,5,0.93,Very High,Australia,Security Identifiers,5,5,5,5,1,High,"�A TFN is a unique identifier that is used to track individuals' tax information in Australia. If a TFN is compromised, it could be used to commit tax fraud or identity theft.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
Titulo,TITLE,Basic Demographics,Linkable,Not Mentioned,Protected Health Information,Semi-Identifiable,Personal Data,5,4,4,4,0.69,High,Spain,Security Identifiers,5,4,4,5,0.87,High,"�A Titulo is a unique identifier that is assigned to all Spanish citizens who have completed their secondary education. It is used by the government and other organizations to track individuals' educational records. If a Titulo is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
UK Social Security Number,UK_NHS,Secure Identifiers,Directly PII,Not Mentioned,Protected Health Information,Identifiable,Special Categories of Data (Sensitive Data),5,5,5,5,1,Very High,United Kingdom,Security Identifiers,5,5,5,5,1,High,"�A UK Social Security Number is a unique identifier that is assigned to all UK citizens and permanent residents. It is used by the government and other organizations to track individuals' financial and social information. If a UK Social Security Number is compromised, it could be used to commit identity theft or fraud.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
United States Bank Account Number (Financial Accounts),US_BANK_ACCOUNT_NUMBER,Financial Information,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,United States,Financial Information,5,5,5,5,1,High,"�A United States Bank Account Number is a unique identifier that is used to identify bank accounts in the United States. If a United States Bank Account Number is compromised, it could be used to make unauthorized withdrawals from someone's bank account.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
United States Bank Account (Financial Accounts),US_BANK_NUMBER,Financial Information,Directly PII,Stand Alone PII,Protected Health Information,Identifiable,Personal Data,5,5,5,5,1,Very High,United States,Financial Information,5,5,5,5,1,High,"�A United States Bank Account is a bank account that is held in the United States. If a United States Bank Account is compromised, it could be used to make unauthorized withdrawals from someone's bank account.",[GDPR Article 4(1)],https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:32016R0679&from=EN
